date,ticker,close_price
2026-01-01,DUM01,2681.54
2026-01-02,DUM01,2659.21
2026-01-05,DUM01,2548.04
2026-01-06,DUM01,2496.49
2026-01-07,DUM01,2464.38
2026-01-08,DUM01,2539.05
2026-01-09,DUM01,2564.46
2026-01-12,DUM01,2436.5
2026-01-13,DUM01,2459.54
2026-01-14,DUM01,2433.19
2026-01-15,DUM01,2386.93
2026-01-16,DUM01,2429.02
2026-01-19,DUM01,2500.81
2026-01-20,DUM01,2567.64
2026-01-21,DUM01,2506.97
2026-01-22,DUM01,2485.52
2026-01-23,DUM01,2509.53
2026-01-26,DUM01,2579.75
2026-01-27,DUM01,2545.21
2026-01-28,DUM01,2532.38
2026-01-29,DUM01,2453.31
2026-01-30,DUM01,2370.44
2026-02-02,DUM01,2425.77
2026-02-03,DUM01,2519.91
2026-02-04,DUM01,2515.35
2026-02-05,DUM01,2587.73
2026-02-06,DUM01,2614.96
2026-02-09,DUM01,2567.61
2026-02-10,DUM01,2594.61
2026-02-11,DUM01,2708.71
2026-02-12,DUM01,2706.59
2026-02-13,DUM01,2827.66
2026-02-16,DUM01,2617.68
2026-02-17,DUM01,2679.49
2026-02-18,DUM01,2686.76
2026-02-19,DUM01,2664.55
2026-02-20,DUM01,2672.14
2026-02-23,DUM01,2521.74
2026-02-24,DUM01,2506.59
2026-02-25,DUM01,2532.64
2026-02-26,DUM01,2639.68
2026-02-27,DUM01,2601.41
2026-03-02,DUM01,2542.22
2026-03-03,DUM01,2506.55
2026-03-04,DUM01,2572.4
2026-03-05,DUM01,2597.06
2026-03-06,DUM01,2558.55
2026-03-09,DUM01,2596.5
2026-03-10,DUM01,2604.29
2026-03-11,DUM01,2676.65
2026-03-12,DUM01,2623.85
2026-03-13,DUM01,2600.02
2026-03-16,DUM01,2571.65
2026-03-17,DUM01,2465.23
2026-03-18,DUM01,2486.58
2026-03-19,DUM01,2505.63
2026-03-20,DUM01,2506.59
2026-03-23,DUM01,2490.47
2026-03-24,DUM01,2390.82
2026-03-25,DUM01,2362.79
2026-03-26,DUM01,2340.33
2026-03-27,DUM01,2287.49
2026-03-30,DUM01,2277.54
2026-03-31,DUM01,2304.25
2026-01-01,DUM02,1580.45
2026-01-02,DUM02,1535.29
2026-01-05,DUM02,1507.36
2026-01-06,DUM02,1482.02
2026-01-07,DUM02,1485.13
2026-01-08,DUM02,1474.53
2026-01-09,DUM02,1458.23
2026-01-12,DUM02,1458.82
2026-01-13,DUM02,1471.34
2026-01-14,DUM02,1465.25
2026-01-15,DUM02,1451.19
2026-01-16,DUM02,1441.11
2026-01-19,DUM02,1450.05
2026-01-20,DUM02,1450.34
2026-01-21,DUM02,1470.05
2026-01-22,DUM02,1441.34
2026-01-23,DUM02,1422.52
2026-01-26,DUM02,1441.99
2026-01-27,DUM02,1422.5
2026-01-28,DUM02,1456.98
2026-01-29,DUM02,1492.82
2026-01-30,DUM02,1529.22
2026-02-02,DUM02,1506.47
2026-02-03,DUM02,1508.97
2026-02-04,DUM02,1496.61
